employee_key;tab_number;department;position;full_name;birth_date;current_adress;phone1;phone2;work_month;work_time
1;1001;УПД;Инженер данных;Маяковский Владимир Иванович;1990.01.01;Гороховая ул. 16\71;79991234567;79992345678;1;120
2;1002;УПД;Devops инженер;Есенин Сергей Петрович;1990.01.02;Гороховая ул. 16\72;79991234568;79992345679;1;120
3;1003;УПД;Инженер данных;Бунин Иван Иванович;1990.01.03;Гороховая ул. 16\73;79991234569;79992345680;1;120
4;1004;УПД;Инженер данных;Пушкин Александр Сергеевич;1990.01.04;Гороховая ул. 16\74;79991234570;79992345681;1;120
5;1005;УПД;Аналитик данных;Крылов Иван Андреевич;1990.01.05;Гороховая ул. 16\75;79991234571;79992345682;1;120
6;1006;УПД;Инженер данных;Тютчев Федор Андреевич;1990.01.06;Гороховая ул. 16\76;79991234572;79992345683;1;120
7;1007;ПЗ;Инженер данных;Фет Афанасий Афансьевич;1990.01.07;Гороховая ул. 16\77;79991234573;79992345684;1;120
8;1008;ПЗ;Devops инженер;Гумилев Николай Степнович;1990.01.08;Гороховая ул. 16\78;79991234574;79992345685;1;120
9;1009;ПЗ;Инженер данных;Толстой Алексей Алексеевич;1990.01.09;Гороховая ул. 16\79;79991234575;79992345686;1;120
10;1010;ПЗ;Аналитик данных;Грибоевдов Александр Иванович;1990.01.10;Гороховая ул. 16\80;79991234576;79992345687;1;120
11;1011;ПЗ;Аналитик данных;Ломоносов Михаил Васильевич;1990.01.11;Гороховая ул. 16\81;79991234577;79992345688;1;120
12;1012;ПЗ;Инженер данных;Гоголь Николай Васильевич;1990.01.12;Гороховая ул. 16\82;79991234578;79992345689;1;120
13;1013;ПЗ;Инженер данных;Симонов Константин Андреевич;1990.01.13;Гороховая ул. 16\83;79991234579;79992345690;1;120
14;1014;ОПЗ;Инженер данных;Ахматова Анна Андреевна;1990.01.14;Гороховая ул. 16\84;79991234580;79992345691;1;120
15;1015;ОПЗ;Инженер данных;Цветаева Марина Ивановна;1990.01.15;Гороховая ул. 16\85;79991234581;79992345692;1;120
16;1016;ОПЗ;Инженер данных;Блок Александр Александрович;1990.01.16;Гороховая ул. 16\86;79991234582;79992345693;1;120
17;1017;ОПЗ;Аналитик данных;Окуджава Булат Иванович;1990.01.17;Гороховая ул. 16\87;79991234583;79992345694;1;120
18;1018;ОПЗ;Инженер данных;Маршак Самуил Яковлевич;1990.01.18;Гороховая ул. 16\88;79991234584;79992345695;1;120
19;1019;ОПЗ;Devops инженер;Твардовский Александр Александрович;1990.01.19;Гороховая ул. 16\89;79991234585;79992345696;1;120
20;1020;ОПЗ;Devops инженер;Чуйковский Константин Константинович;1990.01.20;Гороховая ул. 16\90;79991234586;79992345697;1;120
